gt,generated,psnr,ssim,lpips,loe
10093_00_30s.ARW,test_10093_06_0.1s.png,21.743409253847044,0.43322173,0.5981740951538086,779.3672
10093_00_30s.ARW,test_10093_07_0.1s.png,21.685519267528022,0.4325789,0.5953502058982849,822.0876
10093_00_30s.ARW,test_10093_08_0.1s.png,21.70680437164996,0.4325141,0.597785472869873,774.8672
10093_00_30s.ARW,test_10093_09_0.1s.png,21.764652868084006,0.43217042,0.5937170386314392,789.3992
10101_00_30s.ARW,test_10101_00_0.1s.png,27.246292432675048,0.7811551,0.4428532123565674,297.0964
10101_00_30s.ARW,test_10101_01_0.1s.png,27.247003501996222,0.7822209,0.44330036640167236,288.3288
10101_00_30s.ARW,test_10101_02_0.1s.png,27.277751724159867,0.78226376,0.4451705515384674,287.22
10101_00_30s.ARW,test_10101_03_0.1s.png,27.25998982992038,0.78175163,0.44366320967674255,287.7496
10101_00_30s.ARW,test_10101_04_0.1s.png,27.283083146733063,0.7830584,0.44467949867248535,293.1496
10101_00_30s.ARW,test_10101_05_0.1s.png,27.324326765217467,0.7826164,0.4448162615299225,287.8112
10101_00_30s.ARW,test_10101_06_0.1s.png,27.2866360586104,0.7835531,0.4440177083015442,270.8276
10101_00_30s.ARW,test_10101_07_0.1s.png,27.29718835823768,0.78320146,0.4447130560874939,282.224
10101_00_30s.ARW,test_10101_08_0.1s.png,27.294621674666878,0.7828152,0.44411444664001465,292.7216
10101_00_30s.ARW,test_10101_09_0.1s.png,27.316884066176957,0.7833285,0.44590041041374207,287.4612
10103_00_30s.ARW,test_10103_00_0.1s.png,25.748970645804647,0.7221828,0.49040812253952026,208.036
10103_00_30s.ARW,test_10103_01_0.1s.png,25.78516102545909,0.7237413,0.49161115288734436,217.0168
10103_00_30s.ARW,test_10103_02_0.1s.png,25.79597258889418,0.72409123,0.49007606506347656,210.6348
10103_00_30s.ARW,test_10103_03_0.1s.png,25.796448971633197,0.7245987,0.4897039830684662,226.0552
10103_00_30s.ARW,test_10103_04_0.1s.png,25.797144550202592,0.7237384,0.49033698439598083,209.2104
10103_00_30s.ARW,test_10103_05_0.1s.png,25.800127621762062,0.72350794,0.49001625180244446,219.3832
10103_00_30s.ARW,test_10103_06_0.1s.png,25.807408466543052,0.72478646,0.4902864992618561,219.9624
10103_00_30s.ARW,test_10103_07_0.1s.png,25.819214199663627,0.72515154,0.48900067806243896,211.8264
10103_00_30s.ARW,test_10103_08_0.1s.png,25.818649359123192,0.72559637,0.4890211820602417,216.2248
10105_00_30s.ARW,test_10105_00_0.1s.png,23.126077502593432,0.6116949,0.5854092836380005,198.1124
10105_00_30s.ARW,test_10105_01_0.1s.png,23.11703613810666,0.61148864,0.5840036273002625,197.8024
10105_00_30s.ARW,test_10105_02_0.1s.png,23.08055207031397,0.6107989,0.585771381855011,201.7256
10105_00_30s.ARW,test_10105_03_0.1s.png,23.067072614407614,0.60967857,0.5858414769172668,199.7952
10105_00_30s.ARW,test_10105_04_0.1s.png,23.061751131005977,0.6100452,0.5869370698928833,201.406
10105_00_30s.ARW,test_10105_05_0.1s.png,23.029657881020484,0.60953104,0.5853092074394226,202.8472
10105_00_30s.ARW,test_10105_06_0.1s.png,22.96919496244263,0.60708827,0.5867359638214111,200.0472
10105_00_30s.ARW,test_10105_07_0.1s.png,22.92448575377806,0.6056637,0.5860514044761658,201.0592
