gt,generated,psnr,ssim,lpips
10093_00_30s.ARW,test_10093_06_0.1s.png,21.1808380239769,0.4676133,0.5942732691764832
10093_00_30s.ARW,test_10093_07_0.1s.png,21.168008233024175,0.4656274,0.5925222635269165
10093_00_30s.ARW,test_10093_08_0.1s.png,21.165664578371054,0.46582928,0.5916462540626526
10093_00_30s.ARW,test_10093_09_0.1s.png,21.200252272843684,0.46713457,0.592564046382904
10101_00_30s.ARW,test_10101_00_0.1s.png,27.941241400384538,0.78017217,0.44269153475761414
10101_00_30s.ARW,test_10101_01_0.1s.png,27.968190644398607,0.78135425,0.4423636794090271
10101_00_30s.ARW,test_10101_02_0.1s.png,28.010426759838968,0.7818493,0.44341498613357544
10101_00_30s.ARW,test_10101_03_0.1s.png,27.96439801284272,0.7810014,0.4427645206451416
10101_00_30s.ARW,test_10101_04_0.1s.png,28.0070914659272,0.7823679,0.44272205233573914
10101_00_30s.ARW,test_10101_05_0.1s.png,27.99058773062847,0.7819521,0.44312798976898193
10101_00_30s.ARW,test_10101_06_0.1s.png,28.036591521783038,0.7827882,0.4430461525917053
10101_00_30s.ARW,test_10101_07_0.1s.png,28.03063918253549,0.78284687,0.443462610244751
10101_00_30s.ARW,test_10101_08_0.1s.png,28.059668899130656,0.78261423,0.4428896903991699
10101_00_30s.ARW,test_10101_09_0.1s.png,28.03532110963701,0.78281516,0.4440317153930664
10103_00_30s.ARW,test_10103_00_0.1s.png,25.6811649516985,0.7252555,0.47989070415496826
10103_00_30s.ARW,test_10103_01_0.1s.png,25.725268850769595,0.7269022,0.48100656270980835
10103_00_30s.ARW,test_10103_02_0.1s.png,25.731224110234557,0.7272698,0.4794858694076538
10103_00_30s.ARW,test_10103_03_0.1s.png,25.742800992457134,0.7281611,0.4784221053123474
10103_00_30s.ARW,test_10103_04_0.1s.png,25.725531665879323,0.7269849,0.4799046218395233
10103_00_30s.ARW,test_10103_05_0.1s.png,25.733616778733662,0.7266574,0.47855013608932495
10103_00_30s.ARW,test_10103_06_0.1s.png,25.745933107404014,0.7275966,0.47930335998535156
10103_00_30s.ARW,test_10103_07_0.1s.png,25.749461320738796,0.7282494,0.47877734899520874
10103_00_30s.ARW,test_10103_08_0.1s.png,25.741253482515486,0.728422,0.4786297082901001
10105_00_30s.ARW,test_10105_00_0.1s.png,23.627513732393545,0.609848,0.5689412951469421
10105_00_30s.ARW,test_10105_01_0.1s.png,23.602511026434804,0.61012435,0.5667787790298462
10105_00_30s.ARW,test_10105_02_0.1s.png,23.559155165540247,0.6092511,0.5685396790504456
10105_00_30s.ARW,test_10105_03_0.1s.png,23.566927158998613,0.6089453,0.5687618255615234
10105_00_30s.ARW,test_10105_04_0.1s.png,23.558184350169668,0.6090265,0.5682230591773987
10105_00_30s.ARW,test_10105_05_0.1s.png,23.49239129860385,0.60781497,0.5675814151763916
10105_00_30s.ARW,test_10105_06_0.1s.png,23.474510918133884,0.6064555,0.5684413909912109
10105_00_30s.ARW,test_10105_07_0.1s.png,23.448444881600512,0.60552627,0.5680229067802429
10105_00_30s.ARW,test_10105_08_0.1s.png,23.479912556918478,0.6062607,0.5686600208282471
10105_00_30s.ARW,test_10105_09_0.1s.png,23.630723710663283,0.60945773,0.5695528388023376
10106_00_30s.ARW,test_10106_00_0.1s.png,23.578344691203522,0.6698963,0.526802122592926
10106_00_30s.ARW,test_10106_01_0.1s.png,23.620117094867766,0.6698014,0.5276932716369629
10106_00_30s.ARW,test_10106_02_0.1s.png,23.609845101159795,0.66981965,0.5263635516166687
10106_00_30s.ARW,test_10106_03_0.1s.png,23.592080394060027,0.6695711,0.5263126492500305
10106_00_30s.ARW,test_10106_04_0.1s.png,23.59223913782778,0.6687167,0.5268712043762207
10106_00_30s.ARW,test_10106_05_0.1s.png,23.625710268604514,0.66920257,0.5260635614395142
10106_00_30s.ARW,test_10106_06_0.1s.png,23.62432478942486,0.66925126,0.5270559191703796
10106_00_30s.ARW,test_10106_07_0.1s.png,23.607656745485947,0.6692186,0.5261033773422241
10106_00_30s.ARW,test_10106_08_0.1s.png,23.60120653950684,0.6692632,0.5264406204223633
10106_00_30s.ARW,test_10106_09_0.1s.png,23.628793098650192,0.66966724,0.5264014601707458
10111_00_30s.ARW,test_10111_00_0.1s.png,26.800336216566404,0.7041395,0.39943110942840576
10111_00_30s.ARW,test_10111_01_0.1s.png,26.862236462123498,0.707428,0.4001215100288391
10111_00_30s.ARW,test_10111_02_0.1s.png,26.871475226882275,0.70589733,0.40433385968208313
10111_00_30s.ARW,test_10111_03_0.1s.png,27.008115364692685,0.70855,0.3986753523349762
10111_00_30s.ARW,test_10111_04_0.1s.png,26.88612650653102,0.7077443,0.4004063308238983
10111_00_30s.ARW,test_10111_05_0.1s.png,26.846782848853795,0.7079077,0.4022670388221741
10111_00_30s.ARW,test_10111_06_0.1s.png,26.851761189887768,0.7074978,0.40248847007751465
